Model Name,Brand,Processor,RAM,Storage,Display,Operating System,Color,Body Type,Weight,Warranty,Price (BDT)
Apple MacBook Air M2,Apple,Apple M1,32GB,512GB SSD,"13.3"" FHD",Windows 11,Gray,Magnesium Alloy,1.40kg,3 Years,173830
Apple MacBook Pro M2,Apple,Intel Core i9 13th Gen,8GB,128GB SSD,"17"" FHD",macOS Ventura,Blue,Carbon Fiber,1.40kg,3 Years,238114
Walton Prelude N41,Walton,Intel Core i7 13th Gen,8GB,256GB SSD,"16"" QHD",Windows 11,Black,Metal,2.00kg,1 Year,245446
Walton Prelude N41,Walton,AMD Ryzen 7 5800U,12GB,256GB SSD,"15.6"" FHD",Windows 10,White,Plastic,1.75kg,1 Year,117984
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i3 11th Gen,4GB,512GB SSD,"15.6"" FHD",Windows 10,Gray,Magnesium Alloy,2.00kg,3 Years,199135
Apple MacBook Air M1,Apple,AMD Ryzen 5 5500U,32GB,512GB SSD,"16"" QHD",macOS Ventura,Silver,Carbon Fiber,1.25kg,1 Year,106504
Acer Aspire 5,Acer,Intel Core i7 13th Gen,16GB,128GB SSD,"13.3"" FHD",Chrome OS,White,Aluminum,1.25kg,3 Years,80568
Apple MacBook Air M1,Apple,Apple M2,16GB,512GB SSD,"16"" QHD",Windows 11,Black,Metal,1.75kg,1 Year,107117
Walton Prelude N41,Walton,Apple M1,16GB,128GB SSD,"15.6"" FHD",Windows 11,Gray,Aluminum,2.00kg,3 Years,161475
HP Victus 15,HP,AMD Ryzen 7 5800U,32GB,128GB SSD,"13.3"" FHD",Chrome OS,White,Plastic,1.40kg,2 Years,114411
HP Victus 15,HP,Apple M2,12GB,256GB SSD,"14"" FHD",Windows 11,Gray,Plastic,2.00kg,1 Year,201340
Dell Inspiron 14,Dell,Apple M2,8GB,512GB SSD,"17"" FHD",Windows 11,Gray,Magnesium Alloy,0.99kg,3 Years,171765
ASUS VivoBook 15,ASUS,Intel Core i7 13th Gen,16GB,256GB SSD,"15.6"" FHD",Windows 11,Silver,Plastic,1.25kg,3 Years,75388
ASUS ROG Zephyrus G14,ASUS,Intel Core i3 11th Gen,8GB,256GB SSD,"14"" FHD",Chrome OS,Silver,Carbon Fiber,1.40kg,1 Year,144264
ASUS VivoBook 15,ASUS,Intel Core i3 11th Gen,16GB,128GB SSD,"15.6"" FHD",Windows 11,Silver,Plastic,1.75kg,1 Year,188670
LG Gram 14,LG,Intel Core i9 13th Gen,12GB,512GB SSD,"14"" FHD",Windows 10,Silver,Aluminum,2.00kg,2 Years,41794
Walton Tamarind EX10,Walton,AMD Ryzen 7 5800U,8GB,256GB SSD,"14"" FHD",macOS Ventura,Gray,Plastic,0.99kg,2 Years,240262
Dell Inspiron 14,Dell,Intel Core i9 13th Gen,12GB,512GB SSD,"13.3"" FHD",macOS Ventura,Black,Metal,2.00kg,2 Years,75844
Dell Inspiron 14,Dell,Intel Core i5 12th Gen,12GB,128GB SSD,"13.3"" FHD",Windows 10,White,Plastic,0.99kg,3 Years,186836
Apple MacBook Air M1,Apple,Intel Core i7 13th Gen,16GB,512GB SSD,"16"" QHD",macOS Ventura,White,Aluminum,2.00kg,2 Years,70134
ASUS ROG Zephyrus G14,ASUS,Intel Core i7 13th Gen,12GB,256GB SSD,"15.6"" FHD",Chrome OS,Black,Aluminum,2.00kg,2 Years,176809
HP Victus 15,HP,Apple M1,4GB,512GB SSD,"17"" FHD",Chrome OS,Gray,Carbon Fiber,1.75kg,1 Year,194492
Acer Aspire 5,Acer,Intel Core i9 13th Gen,16GB,1TB SSD,"14"" FHD",Windows 10,Silver,Metal,0.99kg,2 Years,184605
HP Victus 15,HP,Apple M2,16GB,512GB SSD,"15.6"" FHD",Windows 10,Black,Magnesium Alloy,1.75kg,3 Years,158542
ASUS VivoBook 15,ASUS,Apple M1,4GB,512GB SSD,"15.6"" FHD",macOS Ventura,Gray,Plastic,1.75kg,3 Years,218552
LG Gram 14,LG,Intel Core i9 13th Gen,32GB,128GB SSD,"15.6"" FHD",Chrome OS,Black,Aluminum,1.25kg,2 Years,232583
MSI GF63 Thin,MSI,AMD Ryzen 7 5800U,32GB,512GB SSD,"14"" FHD",Chrome OS,Blue,Carbon Fiber,1.75kg,1 Year,249652
LG Gram 14,LG,Intel Core i5 12th Gen,8GB,128GB SSD,"17"" FHD",Chrome OS,White,Aluminum,0.99kg,3 Years,111643
Walton Prelude N41,Walton,Intel Core i9 13th Gen,32GB,128GB SSD,"17"" FHD",Windows 11,Blue,Magnesium Alloy,1.25kg,3 Years,93660
ASUS ROG Zephyrus G14,ASUS,Apple M1,16GB,1TB SSD,"16"" QHD",Windows 10,White,Metal,1.40kg,2 Years,195803
ASUS ROG Zephyrus G14,ASUS,AMD Ryzen 7 5800U,4GB,1TB SSD,"13.3"" FHD",macOS Ventura,White,Plastic,1.25kg,2 Years,105845
Walton Tamarind EX10,Walton,Apple M1,8GB,1TB SSD,"16"" QHD",Windows 11,Silver,Plastic,1.75kg,2 Years,154231
Walton Tamarind EX10,Walton,Intel Core i9 13th Gen,12GB,512GB SSD,"13.3"" FHD",Windows 10,Black,Magnesium Alloy,1.75kg,2 Years,175805
Lenovo IdeaPad Slim 3,Lenovo,AMD Ryzen 5 5500U,16GB,128GB SSD,"17"" FHD",Chrome OS,Silver,Plastic,1.25kg,3 Years,198111
Dell XPS 13,Dell,Intel Core i7 13th Gen,12GB,128GB SSD,"15.6"" FHD",Windows 11,Blue,Carbon Fiber,1.25kg,3 Years,238781
ASUS ROG Zephyrus G14,ASUS,AMD Ryzen 7 5800U,12GB,1TB SSD,"17"" FHD",Windows 11,Blue,Aluminum,1.40kg,1 Year,120150
HP Victus 15,HP,AMD Ryzen 7 5800U,12GB,256GB SSD,"17"" FHD",macOS Ventura,White,Plastic,1.40kg,3 Years,213586
HP Victus 15,HP,Intel Core i9 13th Gen,32GB,1TB SSD,"13.3"" FHD",Windows 10,Gray,Plastic,1.25kg,3 Years,160518
Dell Inspiron 14,Dell,Apple M1,4GB,512GB SSD,"13.3"" FHD",Windows 11,Gray,Magnesium Alloy,1.25kg,2 Years,172584
Apple MacBook Pro M2,Apple,Apple M1,32GB,512GB SSD,"15.6"" FHD",Chrome OS,Blue,Carbon Fiber,1.40kg,1 Year,120386
HP Victus 15,HP,Intel Core i3 11th Gen,8GB,1TB SSD,"14"" FHD",macOS Ventura,Silver,Plastic,1.25kg,3 Years,216568
Apple MacBook Air M2,Apple,AMD Ryzen 5 5500U,4GB,128GB SSD,"15.6"" FHD",Windows 10,Blue,Magnesium Alloy,1.40kg,3 Years,45049
ASUS VivoBook 15,ASUS,Apple M2,16GB,1TB SSD,"17"" FHD",Windows 10,Blue,Carbon Fiber,1.75kg,3 Years,83949
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i3 11th Gen,12GB,256GB SSD,"14"" FHD",Windows 11,Blue,Magnesium Alloy,1.40kg,1 Year,58197
Apple MacBook Air M1,Apple,Intel Core i3 11th Gen,16GB,512GB SSD,"15.6"" FHD",Chrome OS,Gray,Carbon Fiber,1.40kg,3 Years,96232
Walton Tamarind EX10,Walton,Apple M1,16GB,512GB SSD,"14"" FHD",Chrome OS,Silver,Aluminum,0.99kg,2 Years,163638
Lenovo IdeaPad Slim 3,Lenovo,AMD Ryzen 7 5800U,8GB,128GB SSD,"16"" QHD",Windows 11,Black,Carbon Fiber,2.00kg,3 Years,145199
ASUS ROG Zephyrus G14,ASUS,AMD Ryzen 5 5500U,32GB,1TB SSD,"16"" QHD",macOS Ventura,Black,Magnesium Alloy,1.25kg,3 Years,159606
MSI GF63 Thin,MSI,Apple M2,8GB,512GB SSD,"15.6"" FHD",macOS Ventura,Blue,Plastic,1.40kg,1 Year,125658
Apple MacBook Air M2,Apple,Apple M2,8GB,256GB SSD,"17"" FHD",Windows 11,White,Metal,1.75kg,2 Years,59568
ASUS VivoBook 15,ASUS,Apple M2,4GB,1TB SSD,"13.3"" FHD",Windows 11,Gray,Metal,0.99kg,3 Years,89571
MSI GF63 Thin,MSI,Apple M2,16GB,1TB SSD,"16"" QHD",Windows 11,Black,Aluminum,0.99kg,3 Years,135841
Walton Tamarind EX10,Walton,Apple M1,16GB,1TB SSD,"15.6"" FHD",macOS Ventura,White,Metal,0.99kg,3 Years,125148
Apple MacBook Pro M2,Apple,Intel Core i7 13th Gen,16GB,128GB SSD,"16"" QHD",Windows 11,White,Carbon Fiber,1.25kg,3 Years,107996
Dell XPS 13,Dell,Intel Core i9 13th Gen,16GB,128GB SSD,"16"" QHD",macOS Ventura,Gray,Carbon Fiber,0.99kg,2 Years,230975
HP Pavilion 15,HP,Intel Core i5 12th Gen,16GB,128GB SSD,"16"" QHD",Windows 11,Silver,Aluminum,1.40kg,2 Years,45118
HP Pavilion 15,HP,Apple M1,32GB,1TB SSD,"14"" FHD",Windows 11,Gray,Metal,1.25kg,3 Years,89805
ASUS VivoBook 15,ASUS,Apple M1,16GB,256GB SSD,"13.3"" FHD",Windows 10,Silver,Magnesium Alloy,1.40kg,2 Years,177206
Acer Aspire 5,Acer,Intel Core i5 12th Gen,16GB,256GB SSD,"15.6"" FHD",macOS Ventura,Gray,Carbon Fiber,1.75kg,3 Years,142706
ASUS ROG Zephyrus G14,ASUS,Intel Core i9 13th Gen,12GB,1TB SSD,"14"" FHD",Windows 10,Black,Magnesium Alloy,2.00kg,1 Year,208298
Apple MacBook Air M2,Apple,Apple M2,4GB,256GB SSD,"13.3"" FHD",Windows 10,Gray,Magnesium Alloy,1.25kg,1 Year,112501
Apple MacBook Air M1,Apple,Intel Core i3 11th Gen,32GB,512GB SSD,"17"" FHD",Windows 10,Silver,Aluminum,1.40kg,2 Years,225040
Acer Aspire 5,Acer,Intel Core i3 11th Gen,4GB,512GB SSD,"14"" FHD",Windows 11,White,Carbon Fiber,0.99kg,1 Year,172578
Dell Inspiron 14,Dell,Intel Core i3 11th Gen,8GB,128GB SSD,"16"" QHD",macOS Ventura,Silver,Metal,1.40kg,3 Years,182518
Acer Aspire 5,Acer,Intel Core i5 12th Gen,12GB,512GB SSD,"16"" QHD",macOS Ventura,Gray,Carbon Fiber,1.40kg,2 Years,169302
Walton Prelude N41,Walton,AMD Ryzen 7 5800U,32GB,1TB SSD,"13.3"" FHD",Windows 10,White,Magnesium Alloy,1.75kg,1 Year,135779
Dell XPS 13,Dell,Apple M1,8GB,1TB SSD,"14"" FHD",macOS Ventura,Gray,Carbon Fiber,2.00kg,3 Years,71671
ASUS VivoBook 15,ASUS,Intel Core i9 13th Gen,12GB,512GB SSD,"16"" QHD",macOS Ventura,Black,Plastic,1.40kg,1 Year,94474
Apple MacBook Air M1,Apple,Intel Core i7 13th Gen,8GB,512GB SSD,"13.3"" FHD",macOS Ventura,Black,Aluminum,1.25kg,3 Years,84603
MSI GF63 Thin,MSI,AMD Ryzen 7 5800U,8GB,256GB SSD,"14"" FHD",Windows 10,White,Plastic,2.00kg,2 Years,178200
HP Victus 15,HP,Intel Core i7 13th Gen,32GB,128GB SSD,"17"" FHD",Windows 10,Black,Magnesium Alloy,2.00kg,2 Years,161692
Apple MacBook Air M1,Apple,AMD Ryzen 7 5800U,4GB,256GB SSD,"13.3"" FHD",macOS Ventura,White,Aluminum,1.25kg,1 Year,83347
Acer Aspire 5,Acer,AMD Ryzen 5 5500U,4GB,128GB SSD,"13.3"" FHD",Windows 11,Blue,Plastic,1.40kg,1 Year,41027
ASUS ROG Zephyrus G14,ASUS,Intel Core i7 13th Gen,12GB,1TB SSD,"16"" QHD",macOS Ventura,White,Plastic,0.99kg,2 Years,247880
Lenovo IdeaPad Slim 3,Lenovo,AMD Ryzen 7 5800U,32GB,512GB SSD,"16"" QHD",macOS Ventura,White,Metal,1.25kg,3 Years,43645
Acer Aspire 5,Acer,Apple M2,12GB,1TB SSD,"14"" FHD",macOS Ventura,White,Plastic,1.40kg,3 Years,215941
Apple MacBook Air M2,Apple,AMD Ryzen 7 5800U,12GB,1TB SSD,"15.6"" FHD",Chrome OS,Black,Metal,1.75kg,1 Year,60702
Dell XPS 13,Dell,AMD Ryzen 7 5800U,12GB,256GB SSD,"17"" FHD",Windows 11,Gray,Metal,1.75kg,3 Years,248903
Walton Tamarind EX10,Walton,Apple M1,16GB,1TB SSD,"14"" FHD",Windows 11,White,Aluminum,0.99kg,3 Years,57117
Walton Prelude N41,Walton,Intel Core i5 12th Gen,16GB,1TB SSD,"15.6"" FHD",Windows 11,Gray,Metal,2.00kg,3 Years,222542
Walton Prelude N41,Walton,Intel Core i5 12th Gen,8GB,1TB SSD,"14"" FHD",Windows 11,Gray,Magnesium Alloy,1.40kg,2 Years,191941
Apple MacBook Air M2,Apple,AMD Ryzen 7 5800U,8GB,128GB SSD,"17"" FHD",Chrome OS,Gray,Aluminum,1.25kg,1 Year,170467
Dell XPS 13,Dell,AMD Ryzen 5 5500U,12GB,256GB SSD,"17"" FHD",macOS Ventura,White,Magnesium Alloy,0.99kg,1 Year,112605
HP Victus 15,HP,Intel Core i3 11th Gen,32GB,1TB SSD,"13.3"" FHD",macOS Ventura,Silver,Magnesium Alloy,1.25kg,1 Year,169865
Walton Tamarind EX10,Walton,AMD Ryzen 5 5500U,8GB,256GB SSD,"14"" FHD",macOS Ventura,Gray,Plastic,1.25kg,1 Year,84470
ASUS VivoBook 15,ASUS,Intel Core i3 11th Gen,16GB,512GB SSD,"16"" QHD",Windows 10,Silver,Metal,1.25kg,3 Years,59590
Apple MacBook Air M2,Apple,Intel Core i9 13th Gen,16GB,256GB SSD,"17"" FHD",Chrome OS,Gray,Magnesium Alloy,1.75kg,1 Year,53006
HP Victus 15,HP,Apple M2,12GB,1TB SSD,"17"" FHD",macOS Ventura,Blue,Metal,1.40kg,3 Years,144458
HP Victus 15,HP,Intel Core i3 11th Gen,8GB,1TB SSD,"17"" FHD",Windows 10,Black,Metal,1.25kg,2 Years,53579
ASUS ROG Zephyrus G14,ASUS,Intel Core i3 11th Gen,16GB,128GB SSD,"14"" FHD",Windows 11,Black,Magnesium Alloy,0.99kg,1 Year,210749
LG Gram 14,LG,AMD Ryzen 5 5500U,4GB,512GB SSD,"17"" FHD",Windows 11,Blue,Aluminum,2.00kg,2 Years,236698
Acer Aspire 5,Acer,Apple M1,8GB,512GB SSD,"13.3"" FHD",Chrome OS,Blue,Carbon Fiber,2.00kg,2 Years,116385
Acer Aspire 5,Acer,AMD Ryzen 7 5800U,12GB,1TB SSD,"14"" FHD",Chrome OS,Blue,Metal,1.75kg,2 Years,226071
HP Victus 15,HP,AMD Ryzen 5 5500U,16GB,512GB SSD,"13.3"" FHD",Chrome OS,Silver,Aluminum,1.25kg,3 Years,111036
ASUS VivoBook 15,ASUS,Apple M1,16GB,1TB SSD,"16"" QHD",macOS Ventura,Gray,Carbon Fiber,1.40kg,3 Years,173022
HP Victus 15,HP,Intel Core i9 13th Gen,4GB,128GB SSD,"17"" FHD",Windows 10,White,Metal,0.99kg,2 Years,159839
Apple MacBook Air M1,Apple,Intel Core i7 13th Gen,32GB,128GB SSD,"14"" FHD",Windows 11,White,Metal,2.00kg,3 Years,219154
Dell Inspiron 14,Dell,Apple M1,32GB,1TB SSD,"14"" FHD",macOS Ventura,Blue,Aluminum,0.99kg,1 Year,215929
LG Gram 14,LG,AMD Ryzen 7 5800U,12GB,512GB SSD,"17"" FHD",macOS Ventura,Gray,Plastic,1.25kg,2 Years,66325
HP Victus 15,HP,Apple M1,12GB,256GB SSD,"16"" QHD",Windows 10,White,Magnesium Alloy,2.00kg,2 Years,205405
HP Pavilion 15,HP,Apple M1,4GB,128GB SSD,"17"" FHD",macOS Ventura,Silver,Metal,2.00kg,3 Years,65247
Apple MacBook Pro M2,Apple,AMD Ryzen 5 5500U,16GB,1TB SSD,"14"" FHD",macOS Ventura,White,Carbon Fiber,1.40kg,1 Year,110931
Apple MacBook Air M1,Apple,Intel Core i3 11th Gen,16GB,512GB SSD,"17"" FHD",Chrome OS,Black,Carbon Fiber,2.00kg,1 Year,211332
Walton Prelude N41,Walton,Intel Core i5 12th Gen,12GB,512GB SSD,"14"" FHD",macOS Ventura,Black,Aluminum,1.25kg,2 Years,134600
MSI GF63 Thin,MSI,Intel Core i7 13th Gen,8GB,128GB SSD,"16"" QHD",Windows 11,White,Plastic,0.99kg,1 Year,223502
ASUS VivoBook 15,ASUS,AMD Ryzen 5 5500U,16GB,1TB SSD,"14"" FHD",Chrome OS,White,Magnesium Alloy,1.75kg,1 Year,66321
Acer Aspire 5,Acer,AMD Ryzen 5 5500U,16GB,512GB SSD,"17"" FHD",macOS Ventura,Blue,Magnesium Alloy,0.99kg,2 Years,128812
ASUS ROG Zephyrus G14,ASUS,Apple M1,4GB,256GB SSD,"17"" FHD",Windows 10,Black,Plastic,1.75kg,3 Years,164056
HP Victus 15,HP,Intel Core i3 11th Gen,16GB,1TB SSD,"15.6"" FHD",Windows 11,Silver,Carbon Fiber,0.99kg,2 Years,115154
Lenovo IdeaPad Slim 3,Lenovo,AMD Ryzen 5 5500U,16GB,1TB SSD,"15.6"" FHD",Windows 10,Blue,Aluminum,0.99kg,2 Years,209405
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i9 13th Gen,16GB,1TB SSD,"16"" QHD",macOS Ventura,White,Plastic,1.25kg,1 Year,211152
LG Gram 14,LG,AMD Ryzen 5 5500U,12GB,512GB SSD,"15.6"" FHD",macOS Ventura,White,Aluminum,1.75kg,3 Years,241288
ASUS VivoBook 15,ASUS,Apple M1,4GB,512GB SSD,"15.6"" FHD",macOS Ventura,White,Magnesium Alloy,2.00kg,1 Year,42819
ASUS VivoBook 15,ASUS,Intel Core i3 11th Gen,32GB,1TB SSD,"13.3"" FHD",macOS Ventura,Gray,Magnesium Alloy,1.40kg,1 Year,224559
Walton Tamarind EX10,Walton,Intel Core i9 13th Gen,12GB,128GB SSD,"17"" FHD",Windows 11,White,Metal,1.25kg,2 Years,210737
Apple MacBook Air M2,Apple,Intel Core i5 12th Gen,12GB,512GB SSD,"13.3"" FHD",Windows 10,Gray,Metal,2.00kg,3 Years,127205
Walton Prelude N41,Walton,AMD Ryzen 7 5800U,4GB,256GB SSD,"16"" QHD",Chrome OS,White,Magnesium Alloy,1.25kg,2 Years,35150
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i9 13th Gen,4GB,512GB SSD,"14"" FHD",Chrome OS,White,Plastic,1.40kg,1 Year,148990
ASUS VivoBook 15,ASUS,Intel Core i7 13th Gen,12GB,1TB SSD,"14"" FHD",Windows 11,Black,Metal,1.40kg,1 Year,47779
Walton Prelude N41,Walton,Intel Core i5 12th Gen,8GB,512GB SSD,"13.3"" FHD",Windows 11,White,Metal,0.99kg,3 Years,109681
Walton Prelude N41,Walton,Apple M1,16GB,512GB SSD,"13.3"" FHD",Windows 10,Black,Carbon Fiber,1.75kg,2 Years,198553
Dell Inspiron 14,Dell,Apple M2,4GB,128GB SSD,"16"" QHD",macOS Ventura,Blue,Carbon Fiber,2.00kg,1 Year,214863
LG Gram 14,LG,Intel Core i9 13th Gen,4GB,128GB SSD,"16"" QHD",Chrome OS,Black,Carbon Fiber,1.75kg,3 Years,220283
HP Pavilion 15,HP,Intel Core i5 12th Gen,12GB,256GB SSD,"15.6"" FHD",Windows 10,Silver,Aluminum,1.40kg,2 Years,120672
MSI GF63 Thin,MSI,Apple M2,32GB,1TB SSD,"15.6"" FHD",Windows 11,Silver,Plastic,2.00kg,1 Year,76209
HP Pavilion 15,HP,AMD Ryzen 5 5500U,32GB,1TB SSD,"13.3"" FHD",Windows 10,Black,Carbon Fiber,1.25kg,1 Year,217294
MSI GF63 Thin,MSI,AMD Ryzen 5 5500U,16GB,1TB SSD,"14"" FHD",macOS Ventura,Blue,Plastic,0.99kg,3 Years,229375
Dell Inspiron 14,Dell,Intel Core i7 13th Gen,12GB,1TB SSD,"16"" QHD",Chrome OS,Black,Aluminum,1.75kg,1 Year,97344
ASUS ROG Zephyrus G14,ASUS,Intel Core i9 13th Gen,4GB,512GB SSD,"16"" QHD",Windows 10,Silver,Magnesium Alloy,0.99kg,1 Year,122906
MSI GF63 Thin,MSI,AMD Ryzen 7 5800U,16GB,128GB SSD,"15.6"" FHD",Chrome OS,Silver,Metal,0.99kg,1 Year,76258
Apple MacBook Air M2,Apple,Intel Core i9 13th Gen,4GB,128GB SSD,"14"" FHD",Chrome OS,Black,Metal,0.99kg,2 Years,112586
Walton Prelude N41,Walton,Intel Core i5 12th Gen,4GB,128GB SSD,"16"" QHD",Windows 10,Black,Plastic,2.00kg,2 Years,70924
Apple MacBook Pro M2,Apple,Intel Core i7 13th Gen,12GB,256GB SSD,"14"" FHD",Windows 11,Gray,Magnesium Alloy,2.00kg,2 Years,213578
Walton Tamarind EX10,Walton,AMD Ryzen 5 5500U,12GB,1TB SSD,"14"" FHD",Windows 11,Silver,Magnesium Alloy,1.75kg,3 Years,50924
Dell Inspiron 14,Dell,Intel Core i9 13th Gen,12GB,256GB SSD,"14"" FHD",Chrome OS,Blue,Plastic,1.25kg,1 Year,81877
Acer Aspire 5,Acer,Intel Core i3 11th Gen,16GB,1TB SSD,"13.3"" FHD",Windows 11,White,Carbon Fiber,1.25kg,2 Years,43921
Walton Prelude N41,Walton,Intel Core i9 13th Gen,4GB,1TB SSD,"14"" FHD",macOS Ventura,Blue,Magnesium Alloy,2.00kg,3 Years,84851
HP Pavilion 15,HP,Intel Core i9 13th Gen,12GB,512GB SSD,"14"" FHD",Chrome OS,Black,Metal,1.25kg,1 Year,106589
Apple MacBook Air M1,Apple,Intel Core i3 11th Gen,32GB,1TB SSD,"17"" FHD",Windows 11,Blue,Carbon Fiber,1.40kg,1 Year,149456
MSI GF63 Thin,MSI,AMD Ryzen 7 5800U,16GB,1TB SSD,"17"" FHD",Chrome OS,Black,Metal,1.40kg,1 Year,242213
Dell Inspiron 14,Dell,Apple M2,12GB,512GB SSD,"14"" FHD",macOS Ventura,White,Metal,2.00kg,1 Year,197117
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i3 11th Gen,32GB,512GB SSD,"16"" QHD",Windows 11,White,Metal,1.25kg,3 Years,210268
HP Pavilion 15,HP,Apple M1,16GB,256GB SSD,"14"" FHD",Chrome OS,White,Plastic,1.75kg,3 Years,238321
ASUS VivoBook 15,ASUS,Intel Core i5 12th Gen,12GB,128GB SSD,"15.6"" FHD",Chrome OS,Gray,Aluminum,0.99kg,3 Years,35033
Acer Aspire 5,Acer,Intel Core i7 13th Gen,8GB,512GB SSD,"17"" FHD",Windows 10,Gray,Carbon Fiber,2.00kg,3 Years,187036
Apple MacBook Pro M2,Apple,Intel Core i9 13th Gen,4GB,128GB SSD,"17"" FHD",macOS Ventura,Blue,Plastic,1.75kg,1 Year,82755
MSI GF63 Thin,MSI,Apple M2,8GB,256GB SSD,"13.3"" FHD",Chrome OS,Gray,Metal,1.40kg,1 Year,224853
LG Gram 14,LG,Intel Core i9 13th Gen,32GB,512GB SSD,"13.3"" FHD",Chrome OS,White,Metal,0.99kg,2 Years,207586
Apple MacBook Air M2,Apple,Intel Core i7 13th Gen,12GB,1TB SSD,"15.6"" FHD",Chrome OS,Black,Aluminum,1.25kg,1 Year,41678
ASUS VivoBook 15,ASUS,Intel Core i5 12th Gen,16GB,128GB SSD,"14"" FHD",Windows 10,White,Aluminum,0.99kg,2 Years,120799
Apple MacBook Pro M2,Apple,Apple M1,32GB,512GB SSD,"16"" QHD",Windows 11,White,Carbon Fiber,1.75kg,1 Year,142132
HP Pavilion 15,HP,Intel Core i5 12th Gen,4GB,1TB SSD,"15.6"" FHD",Windows 10,Silver,Carbon Fiber,1.25kg,2 Years,152651
Dell Inspiron 14,Dell,Intel Core i5 12th Gen,12GB,1TB SSD,"16"" QHD",Windows 11,Silver,Metal,0.99kg,1 Year,146427
Apple MacBook Pro M2,Apple,Intel Core i9 13th Gen,32GB,128GB SSD,"14"" FHD",Windows 11,Gray,Aluminum,0.99kg,2 Years,115369
Walton Prelude N41,Walton,Intel Core i5 12th Gen,12GB,1TB SSD,"17"" FHD",Chrome OS,Silver,Metal,0.99kg,1 Year,238125
Acer Aspire 5,Acer,Intel Core i3 11th Gen,32GB,512GB SSD,"17"" FHD",Windows 11,Gray,Magnesium Alloy,0.99kg,3 Years,199143
ASUS VivoBook 15,ASUS,AMD Ryzen 7 5800U,12GB,1TB SSD,"16"" QHD",Chrome OS,Black,Aluminum,1.40kg,2 Years,229151
ASUS VivoBook 15,ASUS,AMD Ryzen 7 5800U,32GB,1TB SSD,"17"" FHD",Chrome OS,Gray,Carbon Fiber,0.99kg,1 Year,141557
Walton Tamarind EX10,Walton,Apple M1,16GB,1TB SSD,"13.3"" FHD",macOS Ventura,Black,Metal,1.75kg,3 Years,141252
Dell Inspiron 14,Dell,Intel Core i5 12th Gen,32GB,1TB SSD,"13.3"" FHD",Windows 10,Black,Aluminum,1.75kg,2 Years,236870
Apple MacBook Pro M2,Apple,AMD Ryzen 7 5800U,32GB,1TB SSD,"17"" FHD",Windows 11,White,Plastic,0.99kg,1 Year,128898
Acer Aspire 5,Acer,Intel Core i9 13th Gen,4GB,256GB SSD,"14"" FHD",macOS Ventura,Blue,Magnesium Alloy,1.75kg,3 Years,59097
Lenovo IdeaPad Slim 3,Lenovo,Intel Core i3 11th Gen,4GB,1TB SSD,"13.3"" FHD",Windows 11,Blue,Carbon Fiber,1.25kg,2 Years,226951
Dell XPS 13,Dell,Apple M2,12GB,1TB SSD,"13.3"" FHD",Chrome OS,Silver,Plastic,1.25kg,2 Years,207002
ASUS VivoBook 15,ASUS,Intel Core i9 13th Gen,8GB,128GB SSD,"16"" QHD",Chrome OS,Black,Carbon Fiber,1.75kg,3 Years,225449
Apple MacBook Pro M2,Apple,Apple M2,8GB,512GB SSD,"16"" QHD",Windows 10,Blue,Carbon Fiber,1.75kg,2 Years,84046
Apple MacBook Air M2,Apple,Apple M2,4GB,128GB SSD,"16"" QHD",Chrome OS,Gray,Aluminum,0.99kg,2 Years,165851
Walton Tamarind EX10,Walton,Apple M2,8GB,128GB SSD,"13.3"" FHD",Chrome OS,Silver,Magnesium Alloy,1.25kg,1 Year,220749
Apple MacBook Air M1,Apple,Intel Core i9 13th Gen,4GB,1TB SSD,"13.3"" FHD",Windows 10,Black,Aluminum,2.00kg,2 Years,93620
Dell XPS 13,Dell,AMD Ryzen 7 5800U,32GB,512GB SSD,"17"" FHD",macOS Ventura,Gray,Aluminum,1.25kg,1 Year,87719
Acer Aspire 5,Acer,Intel Core i5 12th Gen,16GB,512GB SSD,"14"" FHD",Windows 10,White,Plastic,1.40kg,2 Years,77361
Walton Tamarind EX10,Walton,Apple M1,32GB,256GB SSD,"13.3"" FHD",Windows 11,Blue,Magnesium Alloy,1.25kg,2 Years,122783
MSI GF63 Thin,MSI,AMD Ryzen 7 5800U,4GB,512GB SSD,"15.6"" FHD",Windows 11,Gray,Magnesium Alloy,2.00kg,2 Years,67106
Dell XPS 13,Dell,AMD Ryzen 5 5500U,32GB,256GB SSD,"17"" FHD",macOS Ventura,Blue,Plastic,1.75kg,1 Year,45509
Dell Inspiron 14,Dell,AMD Ryzen 5 5500U,12GB,256GB SSD,"14"" FHD",Chrome OS,Silver,Aluminum,1.40kg,2 Years,97685
LG Gram 14,LG,Intel Core i9 13th Gen,4GB,256GB SSD,"17"" FHD",Windows 11,Blue,Metal,2.00kg,1 Year,201101
ASUS ROG Zephyrus G14,ASUS,Intel Core i5 12th Gen,12GB,128GB SSD,"15.6"" FHD",Chrome OS,Gray,Plastic,1.75kg,3 Years,181236
Dell XPS 13,Dell,Apple M1,32GB,512GB SSD,"17"" FHD",Windows 10,Silver,Magnesium Alloy,1.40kg,3 Years,136864
