instruct,answer,Conditions,Offers
Suggest a ASUS laptop with 4GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 2299, Category: General Use, Price: 129149 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Brand New,Up to 5% Discount
Suggest a Lenovo laptop with 12GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 2300, Category: General Use, Price: 46511 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Brand New,Battery Replacement Support
Suggest a Acer laptop with 16GB RAM and 256GB SSD.,"Name: Acer ExpertBook 2301, Category: General Use, Price: 53841 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a Apple laptop with 4GB RAM and 128GB SSD.,"Name: Apple ExpertBook 2302, Category: General Use, Price: 82314 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a MSI laptop with 16GB RAM and 1TB SSD.,"Name: MSI ExpertBook 2303, Category: General Use, Price: 102162 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a Lenovo laptop with 4GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 2304, Category: General Use, Price: 56730 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a Lenovo laptop with 16GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 2305, Category: General Use, Price: 103746 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a Apple laptop with 8GB RAM and 128GB SSD.,"Name: Apple ExpertBook 2306, Category: General Use, Price: 82957 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 128GB SSD",Brand New,Free Laptop Bag
Suggest a Apple laptop with 4GB RAM and 512GB SSD.,"Name: Apple ExpertBook 2307, Category: General Use, Price: 68398 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Brand New,Free Laptop Bag
Suggest a LG laptop with 8GB RAM and 128GB SSD.,"Name: LG ExpertBook 2308, Category: General Use, Price: 70684 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 128GB SSD",Brand New,Free Laptop Bag
Suggest a ASUS laptop with 8GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 2309, Category: General Use, Price: 58981 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a HP laptop with 16GB RAM and 256GB SSD.,"Name: HP ExpertBook 2310, Category: General Use, Price: 47675 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a ASUS laptop with 16GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 2311, Category: General Use, Price: 86557 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Brand New,Free Mouse Pad
Suggest a MSI laptop with 12GB RAM and 1TB SSD.,"Name: MSI ExpertBook 2312, Category: General Use, Price: 47180 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,0% EMI on selected cards
Suggest a MSI laptop with 12GB RAM and 256GB SSD.,"Name: MSI ExpertBook 2313, Category: General Use, Price: 92646 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Free Laptop Bag
Suggest a LG laptop with 16GB RAM and 128GB SSD.,"Name: LG ExpertBook 2314, Category: General Use, Price: 132101 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 128GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a Acer laptop with 4GB RAM and 256GB SSD.,"Name: Acer ExpertBook 2315, Category: General Use, Price: 139708 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 256GB SSD",Brand New,Free Mouse Pad
Suggest a Lenovo laptop with 4GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 2316, Category: General Use, Price: 84652 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,No discount
Suggest a Acer laptop with 12GB RAM and 512GB SSD.,"Name: Acer ExpertBook 2317, Category: General Use, Price: 146401 BDT, Color: Black, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Acer laptop with 12GB RAM and 512GB SSD.,"Name: Acer ExpertBook 2318, Category: General Use, Price: 77245 BDT, Color: Black, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a LG laptop with 16GB RAM and 128GB SSD.,"Name: LG ExpertBook 2319, Category: General Use, Price: 57728 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Free Laptop Bag
Suggest a LG laptop with 12GB RAM and 512GB SSD.,"Name: LG ExpertBook 2320, Category: General Use, Price: 45526 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a LG laptop with 4GB RAM and 128GB SSD.,"Name: LG ExpertBook 2321, Category: General Use, Price: 113634 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 128GB SSD",Brand New,No discount
Suggest a HP laptop with 8GB RAM and 1TB SSD.,"Name: HP ExpertBook 2322, Category: General Use, Price: 82202 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,EMI available (6 months)
Suggest a LG laptop with 12GB RAM and 256GB SSD.,"Name: LG ExpertBook 2323, Category: General Use, Price: 98013 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a Acer laptop with 16GB RAM and 512GB SSD.,"Name: Acer ExpertBook 2324, Category: General Use, Price: 95725 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a HP laptop with 4GB RAM and 256GB SSD.,"Name: HP ExpertBook 2325, Category: General Use, Price: 53696 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Brand New,Up to 5% Discount
Suggest a Dell laptop with 8GB RAM and 128GB SSD.,"Name: Dell ExpertBook 2326, Category: General Use, Price: 93536 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Free Backpack
Suggest a Acer laptop with 12GB RAM and 512GB SSD.,"Name: Acer ExpertBook 2327, Category: General Use, Price: 80606 BDT, Color: Black, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a Lenovo laptop with 12GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 2328, Category: General Use, Price: 136206 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a ASUS laptop with 8GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 2329, Category: General Use, Price: 59163 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Free Laptop Bag
Suggest a MSI laptop with 8GB RAM and 512GB SSD.,"Name: MSI ExpertBook 2330, Category: General Use, Price: 69701 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Brand New,Cashback ৳2000
Suggest a ASUS laptop with 8GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 2331, Category: General Use, Price: 103956 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,No discount
Suggest a MSI laptop with 16GB RAM and 512GB SSD.,"Name: MSI ExpertBook 2332, Category: General Use, Price: 112099 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a ASUS laptop with 8GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 2333, Category: General Use, Price: 57794 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 1TB SSD",Brand New,Up to 5% Discount
Suggest a Lenovo laptop with 8GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 2334, Category: General Use, Price: 67214 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,Free Gaming Mouse
Suggest a MSI laptop with 16GB RAM and 256GB SSD.,"Name: MSI ExpertBook 2335, Category: General Use, Price: 59106 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Brand New,Free Travel Pouch
Suggest a Apple laptop with 16GB RAM and 256GB SSD.,"Name: Apple ExpertBook 2336, Category: General Use, Price: 88295 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a HP laptop with 12GB RAM and 512GB SSD.,"Name: HP ExpertBook 2337, Category: General Use, Price: 97043 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 512GB SSD",Brand New,EMI available (6 months)
Suggest a Dell laptop with 12GB RAM and 256GB SSD.,"Name: Dell ExpertBook 2338, Category: General Use, Price: 108747 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 256GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a Apple laptop with 8GB RAM and 128GB SSD.,"Name: Apple ExpertBook 2339, Category: General Use, Price: 45504 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Battery Replacement Support
Suggest a Acer laptop with 4GB RAM and 1TB SSD.,"Name: Acer ExpertBook 2340, Category: General Use, Price: 75977 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,Battery Replacement Support
Suggest a ASUS laptop with 16GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 2341, Category: General Use, Price: 68363 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 256GB SSD",Brand New,Free Travel Pouch
Suggest a Lenovo laptop with 4GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 2342, Category: General Use, Price: 127222 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,Discount ৳1500
Suggest a Lenovo laptop with 8GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 2343, Category: General Use, Price: 95293 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,Student Discount Available
Suggest a Apple laptop with 12GB RAM and 128GB SSD.,"Name: Apple ExpertBook 2344, Category: General Use, Price: 52882 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,Student Discount Available
Suggest a LG laptop with 8GB RAM and 256GB SSD.,"Name: LG ExpertBook 2345, Category: General Use, Price: 109071 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Brand New,Free Backpack
Suggest a ASUS laptop with 16GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 2346, Category: General Use, Price: 74171 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,Free Travel Pouch
Suggest a ASUS laptop with 8GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 2347, Category: General Use, Price: 126967 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Brand New,Free Laptop Bag
Suggest a HP laptop with 4GB RAM and 256GB SSD.,"Name: HP ExpertBook 2348, Category: General Use, Price: 105352 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,Free Travel Pouch
Suggest a ASUS laptop with 12GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 2349, Category: General Use, Price: 141660 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Brand New,Cashback ৳2000
Suggest a LG laptop with 12GB RAM and 256GB SSD.,"Name: LG ExpertBook 2350, Category: General Use, Price: 63391 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 256GB SSD",Brand New,Free Mouse Pad
Suggest a Lenovo laptop with 12GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 2351, Category: General Use, Price: 121555 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Brand New,EMI available (6 months)
Suggest a Acer laptop with 4GB RAM and 1TB SSD.,"Name: Acer ExpertBook 2352, Category: General Use, Price: 98045 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Apple laptop with 4GB RAM and 256GB SSD.,"Name: Apple ExpertBook 2353, Category: General Use, Price: 149193 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,Free Backpack
Suggest a ASUS laptop with 16GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 2354, Category: General Use, Price: 90176 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a Lenovo laptop with 8GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 2355, Category: General Use, Price: 52406 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a Lenovo laptop with 12GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 2356, Category: General Use, Price: 104265 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 256GB SSD",Brand New,EMI available (6 months)
Suggest a MSI laptop with 16GB RAM and 512GB SSD.,"Name: MSI ExpertBook 2357, Category: General Use, Price: 107102 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,Free Laptop Bag
Suggest a Acer laptop with 4GB RAM and 1TB SSD.,"Name: Acer ExpertBook 2358, Category: General Use, Price: 131859 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,Student Discount Available
Suggest a Lenovo laptop with 4GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 2359, Category: General Use, Price: 148524 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,EMI available (6 months)
Suggest a LG laptop with 8GB RAM and 128GB SSD.,"Name: LG ExpertBook 2360, Category: General Use, Price: 118948 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Brand New,Free Gaming Mouse
Suggest a Acer laptop with 4GB RAM and 128GB SSD.,"Name: Acer ExpertBook 2361, Category: General Use, Price: 108287 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 128GB SSD",Brand New,Free Travel Pouch
Suggest a Apple laptop with 4GB RAM and 128GB SSD.,"Name: Apple ExpertBook 2362, Category: General Use, Price: 101080 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 128GB SSD",Brand New,Free Travel Pouch
Suggest a Dell laptop with 12GB RAM and 128GB SSD.,"Name: Dell ExpertBook 2363, Category: General Use, Price: 129724 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 128GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a ASUS laptop with 16GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 2364, Category: General Use, Price: 110283 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 256GB SSD",Brand New,Up to 5% Discount
Suggest a ASUS laptop with 12GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 2365, Category: General Use, Price: 104785 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Brand New,No discount
Suggest a MSI laptop with 4GB RAM and 1TB SSD.,"Name: MSI ExpertBook 2366, Category: General Use, Price: 102126 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,EMI available (6 months)
Suggest a LG laptop with 16GB RAM and 512GB SSD.,"Name: LG ExpertBook 2367, Category: General Use, Price: 131253 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,Battery Replacement Support
Suggest a LG laptop with 8GB RAM and 512GB SSD.,"Name: LG ExpertBook 2368, Category: General Use, Price: 53817 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Brand New,Up to 5% Discount
Suggest a Acer laptop with 12GB RAM and 512GB SSD.,"Name: Acer ExpertBook 2369, Category: General Use, Price: 47767 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a ASUS laptop with 12GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 2370, Category: General Use, Price: 123955 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a Apple laptop with 16GB RAM and 128GB SSD.,"Name: Apple ExpertBook 2371, Category: General Use, Price: 90237 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 128GB SSD",Brand New,Free Laptop Bag
Suggest a ASUS laptop with 4GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 2372, Category: General Use, Price: 48446 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 1TB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a Apple laptop with 8GB RAM and 1TB SSD.,"Name: Apple ExpertBook 2373, Category: General Use, Price: 99534 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 1TB SSD",Brand New,No discount
Suggest a ASUS laptop with 8GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 2374, Category: General Use, Price: 79220 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Apple laptop with 16GB RAM and 128GB SSD.,"Name: Apple ExpertBook 2375, Category: General Use, Price: 132548 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Up to 5% Discount
Suggest a Lenovo laptop with 8GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 2376, Category: General Use, Price: 105875 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 512GB SSD",Brand New,0% EMI on selected cards
Suggest a Lenovo laptop with 12GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 2377, Category: General Use, Price: 60525 BDT, Color: Black, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 128GB SSD",Brand New,Free Delivery
Suggest a Apple laptop with 8GB RAM and 256GB SSD.,"Name: Apple ExpertBook 2378, Category: General Use, Price: 80723 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a Dell laptop with 8GB RAM and 256GB SSD.,"Name: Dell ExpertBook 2379, Category: General Use, Price: 47991 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Brand New,Up to 5% Discount
Suggest a Dell laptop with 4GB RAM and 256GB SSD.,"Name: Dell ExpertBook 2380, Category: General Use, Price: 49012 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Brand New,Free Travel Pouch
Suggest a Acer laptop with 16GB RAM and 1TB SSD.,"Name: Acer ExpertBook 2381, Category: General Use, Price: 140727 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Brand New,Free Mouse Pad
Suggest a Apple laptop with 8GB RAM and 128GB SSD.,"Name: Apple ExpertBook 2382, Category: General Use, Price: 93535 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Free Mouse Pad
Suggest a ASUS laptop with 16GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 2383, Category: General Use, Price: 74852 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 256GB SSD",Brand New,Free Laptop Bag
Suggest a Lenovo laptop with 16GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 2384, Category: General Use, Price: 95384 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Brand New,Discount ৳1500
Suggest a Acer laptop with 16GB RAM and 512GB SSD.,"Name: Acer ExpertBook 2385, Category: General Use, Price: 90472 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,Free Delivery
Suggest a Apple laptop with 8GB RAM and 512GB SSD.,"Name: Apple ExpertBook 2386, Category: General Use, Price: 70753 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,Free Travel Pouch
Suggest a MSI laptop with 4GB RAM and 1TB SSD.,"Name: MSI ExpertBook 2387, Category: General Use, Price: 71388 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,Free Delivery
Suggest a MSI laptop with 4GB RAM and 512GB SSD.,"Name: MSI ExpertBook 2388, Category: General Use, Price: 77415 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,Free Mouse Pad
Suggest a Dell laptop with 16GB RAM and 128GB SSD.,"Name: Dell ExpertBook 2389, Category: General Use, Price: 120451 BDT, Color: White, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Free Mouse Pad
